scans/scene0191_00/depth scans/scene0191_00/color scans/scene0191_00/label-filt scans/scene0191_00/pose scans/scene0191_00/intrinsic
scans/scene0119_00/depth scans/scene0119_00/color scans/scene0119_00/label-filt scans/scene0119_00/pose scans/scene0119_00/intrinsic
scans/scene0230_00/depth scans/scene0230_00/color scans/scene0230_00/label-filt scans/scene0230_00/pose scans/scene0230_00/intrinsic
scans/scene0528_00/depth scans/scene0528_00/color scans/scene0528_00/label-filt scans/scene0528_00/pose scans/scene0528_00/intrinsic
scans/scene0705_00/depth scans/scene0705_00/color scans/scene0705_00/label-filt scans/scene0705_00/pose scans/scene0705_00/intrinsic
scans/scene0415_00/depth scans/scene0415_00/color scans/scene0415_00/label-filt scans/scene0415_00/pose scans/scene0415_00/intrinsic
scans/scene0007_00/depth scans/scene0007_00/color scans/scene0007_00/label-filt scans/scene0007_00/pose scans/scene0007_00/intrinsic
scans/scene0141_00/depth scans/scene0141_00/color scans/scene0141_00/label-filt scans/scene0141_00/pose scans/scene0141_00/intrinsic
scans/scene0515_00/depth scans/scene0515_00/color scans/scene0515_00/label-filt scans/scene0515_00/pose scans/scene0515_00/intrinsic
scans/scene0447_00/depth scans/scene0447_00/color scans/scene0447_00/label-filt scans/scene0447_00/pose scans/scene0447_00/intrinsic
scans/scene0531_00/depth scans/scene0531_00/color scans/scene0531_00/label-filt scans/scene0531_00/pose scans/scene0531_00/intrinsic
scans/scene0503_00/depth scans/scene0503_00/color scans/scene0503_00/label-filt scans/scene0503_00/pose scans/scene0503_00/intrinsic
scans/scene0285_00/depth scans/scene0285_00/color scans/scene0285_00/label-filt scans/scene0285_00/pose scans/scene0285_00/intrinsic
scans/scene0069_00/depth scans/scene0069_00/color scans/scene0069_00/label-filt scans/scene0069_00/pose scans/scene0069_00/intrinsic
scans/scene0584_00/depth scans/scene0584_00/color scans/scene0584_00/label-filt scans/scene0584_00/pose scans/scene0584_00/intrinsic
scans/scene0581_00/depth scans/scene0581_00/color scans/scene0581_00/label-filt scans/scene0581_00/pose scans/scene0581_00/intrinsic
scans/scene0620_00/depth scans/scene0620_00/color scans/scene0620_00/label-filt scans/scene0620_00/pose scans/scene0620_00/intrinsic
scans/scene0263_00/depth scans/scene0263_00/color scans/scene0263_00/label-filt scans/scene0263_00/pose scans/scene0263_00/intrinsic
scans/scene0481_00/depth scans/scene0481_00/color scans/scene0481_00/label-filt scans/scene0481_00/pose scans/scene0481_00/intrinsic
scans/scene0020_00/depth scans/scene0020_00/color scans/scene0020_00/label-filt scans/scene0020_00/pose scans/scene0020_00/intrinsic
scans/scene0291_00/depth scans/scene0291_00/color scans/scene0291_00/label-filt scans/scene0291_00/pose scans/scene0291_00/intrinsic
scans/scene0469_00/depth scans/scene0469_00/color scans/scene0469_00/label-filt scans/scene0469_00/pose scans/scene0469_00/intrinsic
scans/scene0659_00/depth scans/scene0659_00/color scans/scene0659_00/label-filt scans/scene0659_00/pose scans/scene0659_00/intrinsic
scans/scene0024_00/depth scans/scene0024_00/color scans/scene0024_00/label-filt scans/scene0024_00/pose scans/scene0024_00/intrinsic
scans/scene0564_00/depth scans/scene0564_00/color scans/scene0564_00/label-filt scans/scene0564_00/pose scans/scene0564_00/intrinsic
scans/scene0117_00/depth scans/scene0117_00/color scans/scene0117_00/label-filt scans/scene0117_00/pose scans/scene0117_00/intrinsic
scans/scene0027_00/depth scans/scene0027_00/color scans/scene0027_00/label-filt scans/scene0027_00/pose scans/scene0027_00/intrinsic
scans/scene0028_00/depth scans/scene0028_00/color scans/scene0028_00/label-filt scans/scene0028_00/pose scans/scene0028_00/intrinsic
scans/scene0330_00/depth scans/scene0330_00/color scans/scene0330_00/label-filt scans/scene0330_00/pose scans/scene0330_00/intrinsic
scans/scene0418_00/depth scans/scene0418_00/color scans/scene0418_00/label-filt scans/scene0418_00/pose scans/scene0418_00/intrinsic
scans/scene0233_00/depth scans/scene0233_00/color scans/scene0233_00/label-filt scans/scene0233_00/pose scans/scene0233_00/intrinsic
scans/scene0673_00/depth scans/scene0673_00/color scans/scene0673_00/label-filt scans/scene0673_00/pose scans/scene0673_00/intrinsic
scans/scene0585_00/depth scans/scene0585_00/color scans/scene0585_00/label-filt scans/scene0585_00/pose scans/scene0585_00/intrinsic
scans/scene0362_00/depth scans/scene0362_00/color scans/scene0362_00/label-filt scans/scene0362_00/pose scans/scene0362_00/intrinsic
scans/scene0035_00/depth scans/scene0035_00/color scans/scene0035_00/label-filt scans/scene0035_00/pose scans/scene0035_00/intrinsic
scans/scene0358_00/depth scans/scene0358_00/color scans/scene0358_00/label-filt scans/scene0358_00/pose scans/scene0358_00/intrinsic
scans/scene0037_00/depth scans/scene0037_00/color scans/scene0037_00/label-filt scans/scene0037_00/pose scans/scene0037_00/intrinsic
scans/scene0194_00/depth scans/scene0194_00/color scans/scene0194_00/label-filt scans/scene0194_00/pose scans/scene0194_00/intrinsic
scans/scene0321_00/depth scans/scene0321_00/color scans/scene0321_00/label-filt scans/scene0321_00/pose scans/scene0321_00/intrinsic
scans/scene0293_00/depth scans/scene0293_00/color scans/scene0293_00/label-filt scans/scene0293_00/pose scans/scene0293_00/intrinsic
scans/scene0623_00/depth scans/scene0623_00/color scans/scene0623_00/label-filt scans/scene0623_00/pose scans/scene0623_00/intrinsic
scans/scene0592_00/depth scans/scene0592_00/color scans/scene0592_00/label-filt scans/scene0592_00/pose scans/scene0592_00/intrinsic
